1686615800.123888 client started (14849): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1686615800.123934 on Darwin 22.5.0 Darwin Kernel Version 22.5.0: Mon Apr 24 20:52:24 PDT 2023; root:xnu-8796.121.2~5/RELEASE_ARM64_T6000
1686615800.124177 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1686615800.124191 flags are 0x18010000
1686615800.124195 socket is /private/tmp/tmux-501/default
1686615800.124202 trying connect
1686615800.124211 connect failed: No such file or directory
1686615800.124221 lock file is /private/tmp/tmux-501/default.lock
1686615800.124270 flock succeeded
1686615800.124274 got lock (6)
1686615800.124279 trying connect
1686615800.124284 connect failed: No such file or directory
1686615800.124491 add peer 0x138048000: 7 (0x0)
1686615800.128938 sending message 100 to peer 0x138048000 (4 bytes)
1686615800.128948 sending message 111 to peer 0x138048000 (8 bytes)
1686615800.128952 sending message 101 to peer 0x138048000 (15 bytes)
1686615800.128957 sending message 109 to peer 0x138048000 (4 bytes)
1686615800.128961 sending message 102 to peer 0x138048000 (13 bytes)
1686615800.128965 sending message 108 to peer 0x138048000 (29 bytes)
1686615800.128969 sending message 112 to peer 0x138048000 (58 bytes)
1686615800.128974 sending message 112 to peer 0x138048000 (5 bytes)
1686615800.128978 sending message 112 to peer 0x138048000 (5 bytes)
1686615800.128982 sending message 112 to peer 0x138048000 (6 bytes)
1686615800.128986 sending message 112 to peer 0x138048000 (6 bytes)
1686615800.128991 sending message 112 to peer 0x138048000 (11 bytes)
1686615800.128995 sending message 112 to peer 0x138048000 (10 bytes)
1686615800.128999 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129003 sending message 112 to peer 0x138048000 (14 bytes)
1686615800.129008 sending message 112 to peer 0x138048000 (19 bytes)
1686615800.129012 sending message 112 to peer 0x138048000 (11 bytes)
1686615800.129016 sending message 112 to peer 0x138048000 (10 bytes)
1686615800.129020 sending message 112 to peer 0x138048000 (15 bytes)
1686615800.129024 sending message 112 to peer 0x138048000 (21 bytes)
1686615800.129029 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129033 sending message 112 to peer 0x138048000 (7 bytes)
1686615800.129038 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129043 sending message 112 to peer 0x138048000 (7 bytes)
1686615800.129048 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129051 sending message 112 to peer 0x138048000 (9 bytes)
1686615800.129055 sending message 112 to peer 0x138048000 (21 bytes)
1686615800.129058 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129062 sending message 112 to peer 0x138048000 (9 bytes)
1686615800.129066 sending message 112 to peer 0x138048000 (16 bytes)
1686615800.129070 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129075 sending message 112 to peer 0x138048000 (9 bytes)
1686615800.129079 sending message 112 to peer 0x138048000 (9 bytes)
1686615800.129083 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129087 sending message 112 to peer 0x138048000 (8 bytes)
1686615800.129091 sending message 112 to peer 0x138048000 (8 bytes)
1686615800.129095 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129099 sending message 112 to peer 0x138048000 (7 bytes)
1686615800.129103 sending message 112 to peer 0x138048000 (7 bytes)
1686615800.129106 sending message 112 to peer 0x138048000 (9 bytes)
1686615800.129111 sending message 112 to peer 0x138048000 (9 bytes)
1686615800.129114 sending message 112 to peer 0x138048000 (15 bytes)
1686615800.129118 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129122 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129126 sending message 112 to peer 0x138048000 (8 bytes)
1686615800.129130 sending message 112 to peer 0x138048000 (14 bytes)
1686615800.129134 sending message 112 to peer 0x138048000 (11 bytes)
1686615800.129138 sending message 112 to peer 0x138048000 (9 bytes)
1686615800.129144 sending message 112 to peer 0x138048000 (10 bytes)
1686615800.129161 sending message 112 to peer 0x138048000 (10 bytes)
1686615800.129182 sending message 112 to peer 0x138048000 (10 bytes)
1686615800.129186 sending message 112 to peer 0x138048000 (10 bytes)
1686615800.129190 sending message 112 to peer 0x138048000 (11 bytes)
1686615800.129193 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129197 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129200 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129202 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129205 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129209 sending message 112 to peer 0x138048000 (11 bytes)
1686615800.129212 sending message 112 to peer 0x138048000 (11 bytes)
1686615800.129214 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129218 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129221 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129224 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129227 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129230 sending message 112 to peer 0x138048000 (9 bytes)
1686615800.129233 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129236 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129239 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129242 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129245 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129248 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129252 sending message 112 to peer 0x138048000 (8 bytes)
1686615800.129254 sending message 112 to peer 0x138048000 (11 bytes)
1686615800.129258 sending message 112 to peer 0x138048000 (11 bytes)
1686615800.129261 sending message 112 to peer 0x138048000 (11 bytes)
1686615800.129264 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129267 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129270 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129276 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129279 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129283 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129287 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129290 sending message 112 to peer 0x138048000 (8 bytes)
1686615800.129292 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129295 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129298 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129301 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129304 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129307 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129310 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129313 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129316 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129319 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129321 sending message 112 to peer 0x138048000 (8 bytes)
1686615800.129324 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129328 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129330 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129334 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129337 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129340 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129343 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129346 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129350 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129353 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129356 sending message 112 to peer 0x138048000 (8 bytes)
1686615800.129360 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129362 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129371 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129374 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129378 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129381 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129385 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129388 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129391 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129394 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129397 sending message 112 to peer 0x138048000 (10 bytes)
1686615800.129399 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129403 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129405 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129408 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129411 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129414 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129417 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129420 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129424 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129427 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129430 sending message 112 to peer 0x138048000 (10 bytes)
1686615800.129433 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129436 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129439 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129443 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129446 sending message 112 to peer 0x138048000 (10 bytes)
1686615800.129449 sending message 112 to peer 0x138048000 (10 bytes)
1686615800.129452 sending message 112 to peer 0x138048000 (10 bytes)
1686615800.129455 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129457 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129460 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129463 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129466 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129469 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129471 sending message 112 to peer 0x138048000 (10 bytes)
1686615800.129475 sending message 112 to peer 0x138048000 (11 bytes)
1686615800.129479 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129481 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129484 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129487 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129490 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129493 sending message 112 to peer 0x138048000 (11 bytes)
1686615800.129496 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129500 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129503 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129506 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129509 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129512 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129515 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129518 sending message 112 to peer 0x138048000 (10 bytes)
1686615800.129521 sending message 112 to peer 0x138048000 (9 bytes)
1686615800.129524 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129527 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129530 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129534 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129538 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129541 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129544 sending message 112 to peer 0x138048000 (9 bytes)
1686615800.129546 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129549 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129552 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129558 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129562 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129565 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129567 sending message 112 to peer 0x138048000 (11 bytes)
1686615800.129569 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129572 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129575 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129579 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129582 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129585 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129589 sending message 112 to peer 0x138048000 (11 bytes)
1686615800.129591 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129595 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129598 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129601 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129604 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129606 sending message 112 to peer 0x138048000 (21 bytes)
1686615800.129609 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129613 sending message 112 to peer 0x138048000 (9 bytes)
1686615800.129616 sending message 112 to peer 0x138048000 (6 bytes)
1686615800.129619 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129622 sending message 112 to peer 0x138048000 (10 bytes)
1686615800.129625 sending message 112 to peer 0x138048000 (24 bytes)
1686615800.129628 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129631 sending message 112 to peer 0x138048000 (9 bytes)
1686615800.129634 sending message 112 to peer 0x138048000 (70 bytes)
1686615800.129637 sending message 112 to peer 0x138048000 (69 bytes)
1686615800.129640 sending message 112 to peer 0x138048000 (12 bytes)
1686615800.129643 sending message 112 to peer 0x138048000 (10 bytes)
1686615800.129646 sending message 112 to peer 0x138048000 (10 bytes)
1686615800.129649 sending message 112 to peer 0x138048000 (24 bytes)
1686615800.129652 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129654 sending message 112 to peer 0x138048000 (10 bytes)
1686615800.129657 sending message 112 to peer 0x138048000 (10 bytes)
1686615800.129659 sending message 112 to peer 0x138048000 (10 bytes)
1686615800.129662 sending message 112 to peer 0x138048000 (13 bytes)
1686615800.129665 sending message 112 to peer 0x138048000 (15 bytes)
1686615800.129668 sending message 112 to peer 0x138048000 (5 bytes)
1686615800.129672 sending message 104 to peer 0x138048000 (0 bytes)
1686615800.129675 sending message 110 to peer 0x138048000 (0 bytes)
1686615800.129679 sending message 107 to peer 0x138048000 (4 bytes)
1686615800.129682 sending message 105 to peer 0x138048000 (60 bytes)
1686615800.129685 sending message 105 to peer 0x138048000 (66 bytes)
1686615800.129688 sending message 105 to peer 0x138048000 (27 bytes)
1686615800.129693 sending message 105 to peer 0x138048000 (15 bytes)
1686615800.129696 sending message 105 to peer 0x138048000 (22 bytes)
1686615800.129699 sending message 105 to peer 0x138048000 (14 bytes)
1686615800.129703 sending message 105 to peer 0x138048000 (17 bytes)
1686615800.129707 sending message 105 to peer 0x138048000 (33 bytes)
1686615800.129709 sending message 105 to peer 0x138048000 (15 bytes)
1686615800.129712 sending message 105 to peer 0x138048000 (43 bytes)
1686615800.129716 sending message 105 to peer 0x138048000 (24 bytes)
1686615800.129719 sending message 105 to peer 0x138048000 (28 bytes)
